track_id,time_step,longitude,latitude,altitude
A1,0,-73.900,40.700,1000
A1,1,-73.890,40.710,1100
A1,2,-73.880,40.720,1200
A1,3,-73.870,40.730,1300
A1,4,-73.860,40.740,1400
A1,5,-73.850,40.750,1500
A2,0,-73.905,40.695,1050
A2,1,-73.895,40.705,1150
A2,2,-73.885,40.715,1250
A2,3,-73.875,40.725,1350
A2,4,-73.865,40.735,1450
A2,5,-73.855,40.745,1550
A3,0,-73.895,40.705,950
A3,1,-73.885,40.715,1050
A3,2,-73.875,40.725,1150
A3,3,-73.865,40.735,1250
A3,4,-73.855,40.745,1350
A3,5,-73.845,40.755,1450
B1,0,-73.700,40.900,5000
B1,1,-73.710,40.890,4900
B1,2,-73.720,40.880,4800
B1,3,-73.730,40.870,4700
B1,4,-73.740,40.860,4600
B1,5,-73.750,40.850,4500
B2,0,-73.695,40.905,5050
B2,1,-73.705,40.895,4950
B2,2,-73.715,40.885,4850
B2,3,-73.725,40.875,4750
B2,4,-73.735,40.865,4650
B2,5,-73.745,40.855,4550
B3,0,-73.705,40.895,4950
B3,1,-73.715,40.885,4850
B3,2,-73.725,40.875,4750
B3,3,-73.735,40.865,4650
B3,4,-73.745,40.855,4550
B3,5,-73.755,40.845,4450
