,cluster_0,cluster_1,cluster_2,cluster_3
0,-74.0714810063862,-73.97916409841014,-75.90237902373778,-74.55670258861477
1,-74.08969763460205,-73.97905726443335,-75.89628051348444,-74.54291195995246
2,-74.10748447787518,-73.9797268316913,-75.88859761902799,-74.52934794659738
3,-74.12460525876281,-73.97918468489738,-75.88091126194529,-74.51565268554342
4,-74.14314930309958,-73.97843032057982,-75.87464305232307,-74.50032109449948
5,-74.15883358299253,-73.9781295730551,-75.86598113996335,-74.48548781427839
6,-74.17593684625204,-73.97723296365845,-75.85989924438124,-74.4712715399693
7,-74.19117199191756,-73.97610805717946,-75.85439462517972,-74.45659000504686
8,-74.2074807204834,-73.9758283789744,-75.84666481019525,-74.44178261011031
9,-74.22375030754732,-73.97478345788613,-75.83716199346529,-74.42742700203252
10,-74.24026050182731,-73.97371013028992,-75.82851107444067,-74.41364985266821
11,-74.25494426348686,-73.97233996108658,-75.82053610366191,-74.39888274174567
12,-74.2696658906614,-73.97155261432401,-75.81158743533773,-74.38450654192589
13,-74.28405367687151,-73.97037586469477,-75.80012834934091,-74.36982439730804
14,-74.29862118312505,-73.96949263829404,-75.79113852404043,-74.35588257313697
15,-74.31334283734783,-73.96845391234244,-75.78314171028292,-74.34140000257544
16,-74.32646938888787,-73.96745000000651,-75.77256046218079,-74.32758501129969
17,-74.3435116529582,-73.96661762784203,-75.76503106625862,-74.31398415073733
18,-74.3581908698147,-73.96536931038625,-75.75638133643139,-74.30005795512275
19,-74.37298433785121,-73.96424912394373,-75.74782173992233,-74.28562879969704
20,-74.38857389304577,-73.96345979452141,-75.74109041440174,-74.27095522855325
21,-74.40412201621103,-73.96283286044505,-75.73202965687386,-74.25734851343906
22,-74.41961630315376,-73.96201510081089,-75.72359482647754,-74.24225573651117
23,-74.4353033207736,-73.96089933483728,-75.71539457240705,-74.22826403703348
24,-74.45115547933779,-73.96021990231374,-75.70734394078069,-74.21448373434698
25,-74.46806489177466,-73.95910402475548,-75.69819647480044,-74.2007265926414
26,-74.48326277505251,-73.95801527539864,-75.69069196228361,-74.186407440772
27,-74.49972805382251,-73.95719122029824,-75.68298548012054,-74.17297296015107
28,-74.51543562500115,-73.95639772927431,-75.6744354250916,-74.15874850822037
29,-74.5317676381946,-73.95551983966679,-75.66686088850402,-74.14546890194448
30,-74.5476666755753,-73.9547595921721,-75.65793413224216,-74.13160482691165
31,-74.56448952592501,-73.95418082503475,-75.64966733878119,-74.11792646941953
32,-74.58139616226497,-73.95367491727511,-75.64171067553666,-74.10465021457983
33,-74.59693313841741,-73.95314785822684,-75.63406216234945,-74.09079106013883
34,-74.61327343819214,-73.95286403405224,-75.6263271693062,-74.07790008701075
35,-74.62876266806421,-73.9521632201358,-75.61807484194452,-74.06392002026288
36,-74.643906625516,-73.95160015238491,-75.60971198656489,-74.05015436743781
37,-74.65924119422229,-73.9509506098824,-75.60235458983117,-74.03611294256476
38,-74.67594342113928,-73.9506222380792,-75.59531205704711,-74.02275099591158
39,-74.69154630835129,-73.95012526516356,-75.58645254455291,-74.00892464039954
40,-74.70714973680346,-73.94894189992301,-75.57991029559155,-73.99537902114885
41,-74.72380070660253,-73.94818093858213,-75.57230923628208,-73.98171629532936
42,-74.74089617326376,-73.9477584959149,-75.56427475981077,-73.96864978782115
43,-74.75650862586893,-73.9469544580097,-75.55705208840105,-73.95552336141412
44,-74.7716682397494,-73.94627860648377,-75.54625807543711,-73.94239817279566
45,-74.78664344915873,-73.94535951644613,-75.5392446997326,-73.92932459892093
