,cluster_0,cluster_1,cluster_2,cluster_3
0,A00010_3,A00010_2,A00010_1,A0012F_1
1,A00050_1,A0011C_1,A00187_3,A005C8_2
2,A0011C_2,A00187_1,A009C4_1,A00647_1
3,A005C8_1,A00187_2,A00C42_1,A00CE0_1
4,A00647_2,A002C5_1,A00C42_2,A00CE0_2
5,A00929_2,A00623_1,A00F60_1,A00D65_1
6,A009C4_2,A0066B_1,A00F60_2,A00D65_4
7,A009DA_2,A0066B_2,A00F60_3,A00D65_5
8,A00CE0_4,A00929_1,A00F60_4,A011D4_2
9,A00CE0_6,A009AE_1,A00F60_5,A014FF_3
10,A00CE0_7,A009DA_1,A00F60_6,A0176A_1
11,A00D65_3,A00CE0_3,A00F60_7,A01F73_1
12,A011D4_1,A00CE0_5,A00F60_8,A01F73_2
13,A0177D_1,A00D65_2,A00FCC_1,A01F73_3
14,A01B80_1,A014FF_2,A00FCC_2,A01F73_4
15,A03281_1,A01B87_1,A00FCC_3,A02350_1
16,A03287_1,A01B87_2,A00FCC_4,A023F3_1
17,A03332_3,A01B87_4,A00FCC_5,A026E1_1
18,A03356_2,A01B87_5,A00FCC_6,A026E1_2
19,A03356_6,A02321_1,A014FF_1,A026E1_3
20,A03374_1,A02321_2,A01724_1,A026E1_4
21,A03374_3,A02321_3,A02538_1,A026E1_5
22,A03374_4,A02321_4,A02538_2,A026E1_6
23,A03377_1,A02603_1,A028E5_1,A02CF1_1
24,A03377_3,A02603_2,A02ED0_1,A0337A_12
25,A0337A_13,A02D5A_1,A03657_1,A03399_5
26,A0337A_9,A0308A_1,A03657_3,A0339A_3
27,A03397_1,A03332_1,A0379B_1,A03BCD_2
28,A03397_2,A03332_2,A038C7_1,A03BCD_4
29,A03399_1,A03356_1,A038C7_2,A03BCD_5
30,A03399_4,A03356_3,A038C7_3,A03BCD_6
31,A03399_7,A03356_4,A03BCD_1,A0433B_1
32,A03399_9,A03356_5,A03BCD_3,A046F2_1
33,A0339F_2,A03356_7,A03BCD_7,A05281_3
34,A037DA_1,A03374_2,A05281_1,A05470_1
35,A03F48_1,A03374_5,A06067_1,A06ABA_1
36,A0433B_2,A03374_6,A06703_1,A07228_1
37,A04E60_1,A03374_7,A06703_3,A075DF_1
38,A04E60_3,A03377_2,A06703_5,A07F6A_1
39,A04E60_5,A03377_4,A06703_7,A0822C_1
40,A04E60_7,A03377_5,A06703_8,A08321_2
41,A04E60_9,A03377_6,A06703_9,A08512_1
42,A05281_2,A03377_8,A06FF3_1,A08ACB_1
43,A05855_1,A0337A_1,A07966_1,A08E82_1
44,A05A6B_1,A0337A_10,A07966_2,A09940_2
45,A05A90_2,A0337A_11,A07966_3,A09CDB_1
46,A05AAC_10,A0337A_2,A07966_4,A0A9D6_4
47,A05AAC_6,A0337A_3,A07966_5,A0AAD0_1
48,A05AAC_7,A0337A_4,A09940_1,A0AE0E_1
49,A05AB3_1,A0337A_5,A09DA3_1,A0D374_2
50,A05AB3_4,A0337A_6,A0A635_1,A0DDEA_1
51,A05B1A_2,A0337A_7,A0A97B_1,A0E503_1
52,A05B1A_6,A0337A_8,A0AF67_1,A105F2_1
53,A06703_2,A0337C_1,A0AF67_2,A1109B_1
54,A06703_4,A03397_3,A0CC06_1,A110A1_1
55,A06703_6,A03397_4,A0CC06_2,A130DB_2
56,A06A7E_2,A03397_5,A0CC06_3,A137D6_1
57,A06E71_2,A03399_10,A0CC06_5,A17527_1
58,A06E71_4,A03399_2,A0CCE7_1,A17527_3
59,A06E71_5,A03399_3,A0D374_4,A17527_5
60,A06E71_7,A03399_6,A0D72B_2,A18403_1
61,A06FF3_2,A03399_8,A0D72B_4,A18EB6_1
62,A07F6A_2,A0339A_1,A0E250_1,A18EB6_2
63,A0822C_10,A0339A_2,A0E250_2,A19372_2
64,A0822C_3,A0339F_1,A0E250_3,A19372_3
65,A0822C_4,A0339F_3,A0E607_1,A19A48_3
66,A08321_1,A0339F_4,A1416F_1,A19A48_7
67,A08E82_2,A0339F_5,A1416F_2,A19AC7_1
68,A09940_3,A03427_1,A1416F_3,A1A9A3_1
69,A099A7_1,A03427_2,A15C41_1,A1AD5A_1
70,A0A967_1,A03427_3,A15C80_1,A1AD90_1
71,A0A967_10,A03657_2,A15C80_3,A1B1A4_1
72,A0A967_3,A0379B_2,A15C80_4,A1C5FD_4
73,A0A96C_1,A038C7_4,A15DB5_1,A1D122_1
74,A0A96C_3,A04035_1,A15E22_1,A1D122_2
75,A0A9AC_1,A04035_2,A161A3_1,A1D122_5
76,A0A9AC_3,A0424A_1,A175FC_1,A1D122_6
77,A0A9AC_4,A04603_1,A1763B_1,A1D122_7
78,A0A9AC_6,A04603_2,A187BA_1,A1D122_8
79,A0A9D4_11,A04603_3,A187BA_2,A1D13B_1
80,A0A9D4_2,A04603_4,A190C7_2,A1D4F2_1
81,A0A9D4_4,A04AA2_1,A19372_1,A1D4F2_2
82,A0A9D4_7,A04AA2_2,A19C1C_1,A1F19B_2
83,A0A9D4_9,A04E60_2,A19C1C_2,A1F824_1
84,A0A9D6_3,A04E60_4,A19D1F_1,A1F824_2
85,A0A9D6_5,A04E60_6,A19D1F_2,A1F942_1
86,A0A9F0_3,A04E60_8,A19D1F_3,A217E2_1
87,A0AC93_7,A05125_1,A1A262_1,A22E28_1
88,A0CC06_4,A05125_2,A1BCA8_1,A231FE_1
89,A0D374_1,A05A90_1,A1BCA8_2,A24031_2
90,A0D374_3,A05A90_10,A1BCA8_3,A2479F_1
91,A0D374_5,A05A90_3,A1BD54_1,A25C8B_1
92,A0D72B_1,A05A90_4,A1C599_2,A263F9_2
93,A0D72B_3,A05A90_5,A1F2F9_1,A27DD9_1
94,A0DAE2_1,A05A90_6,A1F2F9_2,A27DD9_2
95,A0E250_4,A05A90_7,A1F471_1,A27FD6_1
96,A0E607_2,A05A90_8,A1F471_2,A27FD6_2
97,A0F8CB_1,A05A90_9,A1F471_4,A2840A_1
98,A130DB_1,A05AAC_1,A22753_1,A2840A_2
99,A13E69_1,A05AAC_2,A23F37_1,A2A64A_1
100,A15AAE_2,A05AAC_3,A248E3_1,A2A77B_1
101,A15C80_2,A05AAC_4,A248E3_2,A2B9A8_3
102,A15E20_2,A05AAC_8,A248E3_3,A3282F_1
103,A17527_2,A05AAF_1,A257BC_1,A32E86_1
104,A17527_4,A05AAF_2,A2862F_1,A32ED8_3
105,A17527_6,A05AAF_3,A2882A_1,A335B4_1
106,A175FC_2,A05AAF_4,A2882A_2,A339B4_1
107,A17F45_1,A05AAF_5,A28DEB_1,A33AC2_1
108,A18403_2,A05AB3_2,A28DEB_2,A33AC2_4
109,A187BA_3,A05AB3_3,A2B9A8_2,A33AC2_5
110,A18DE7_1,A05B1A_1,A30E54_1,A33D62_1
111,A190C7_1,A05B1A_3,A31FFC_1,A34627_1
112,A190C7_3,A05B1A_4,A31FFC_2,A3524E_1
113,A19691_2,A05B1A_5,A32321_1,A3524E_3
114,A19691_6,A05E82_1,A32321_3,A3571C_1
115,A19691_7,A05E82_2,A326D8_1,A3571C_3
116,A19A48_2,A06020_1,A3276A_1,A359BC_1
117,A19A48_4,A06020_2,A32C7C_1,A359BC_3
118,A19A48_6,A06A7E_1,A32F9D_1,A35AD3_1
119,A19A48_8,A06E71_1,A343C4_3,A3612A_1
120,A19AC7_3,A06E71_3,A35365_1,A369AF_2
121,A1A1B6_2,A06E71_6,A35365_2,A379CD_1
122,A1A1B6_4,A0822C_2,A3571C_4,A379CD_3
123,A1A1B6_6,A0822C_5,A371A3_1,A37D8D_2
124,A1A56D_3,A0822C_6,A376E2_1,A37F2A_1
125,A1A924_1,A0822C_7,A376E2_2,A37F2A_2
126,A1A924_7,A0822C_8,A3A474_1,A384F2_1
127,A1A9A3_3,A0822C_9,A3B185_1,A38D8D_1
128,A1ACCE_2,A08512_2,A3B4E9_1,A390D6_1
129,A1ACDB_4,A08512_3,A3B4E9_2,A39630_1
130,A1ACDB_6,A09DA3_2,A3B757_1,A39630_3
131,A1ACDB_8,A0A635_2,A3BCC9_1,A39EAC_1
132,A1AD5A_2,A0A635_3,A3D783_1,A3A53E_1
133,A1AD90_3,A0A967_2,A3D783_2,A3A53E_4
134,A1B092_3,A0A967_4,A3D7E4_1,A3B4F6_1
135,A1B092_5,A0A967_5,A3E289_1,A3B8AD_1
136,A1B092_7,A0A967_6,A3E289_2,A3CCBD_1
137,A1B4E1_2,A0A967_7,A3EE1F_1,A3E2F6_1
138,A1BA59_1,A0A967_8,A3F161_1,A3E6B1_2
139,A1BA59_5,A0A967_9,A3F40C_2,A3ECCE_1
